product,category,price,quantity,revenue,date
Laptop Pro,Electronics,1299.99,45,58499.55,2024-01-15
Wireless Mouse,Electronics,29.99,120,3598.80,2024-01-16
Office Chair,Furniture,249.99,30,7499.70,2024-01-17
Desk Lamp,Electronics,49.99,85,4249.15,2024-01-18
Standing Desk,Furniture,599.99,18,10799.82,2024-01-19
Keyboard,Electronics,89.99,95,8549.05,2024-01-20
Monitor 27",Electronics,349.99,42,14699.58,2024-01-21
Ergonomic Chair,Furniture,399.99,25,9999.75,2024-01-22
Webcam HD,Electronics,79.99,67,5359.33,2024-01-23
USB Hub,Electronics,24.99,150,3748.50,2024-01-24
